システム監査を実施することになり監査チームを編成した。チームに参画する全ての監査人に対して、共通して求められる要件はどれか,監査対象からの独立性,艦さ対象システムの詳細な技術知識,監査対象となっている業務の実務経験,監査対象部署の問題点に対する改善能力,0,1
XとYの否定論理積 X NAND Yは、NOT(X AND Y)として定義される。X OR YをNANDだけを使って表した論理式はどれか。,((X NAND Y) NAND X) NAND Y ,(X NAND X) NAND (Y NAND Y),(X NAND Y) NAND (X NAND Y),X NAND (Y NAND (X NAND Y)),1,2
最上位をパリティビットとする8ビット符号において、パリティビット以外の下位7ビットを得るためのビット演算はどれか,16進数0FとのANDをとる,16進数0FとのORをとる,16進数7FとのANDをとる,16進数FFとのXOR(排他的論理和)をとる,2,2
機械学習における教師あり学習の説明として、最も適切なものはどれか。,個々の行動に対しての善しあしを得点として与えることによって、得点が最も多く得られるような方策を学習する。,コンピュータの利用者の挙動データを蓄積し、挙動データの出現頻度に従って次の挙動を推論する。,正解のデータを提示したり、データが誤りであることを指摘したりすることによって、未知のデータに対して正誤を得ることを助ける。,正解のデータを提示せずに、統計的性質や、ある種の条件によって入力パターンを判定したり、クラスタリングしたりする。,1,2
複数のプロセスから同時に呼び出されたときに、互いに干渉することなく並行して動作することができるプログラムの性質を表すものはどれか。,リエントラント,リカ―シブ,リユーザブル,リロケータブル,0,2
顧客番号をキーとして顧客データを検索する場合、2分探索を使用するのが適しているものはどれか。,顧客番号から求めたハッシュ値が指し示す位置に配置されているデータ構造,顧客番号に関係なく、ランダムに配置されているデータ構造,顧客番号の昇順に配置されているデータ構造,顧客番号をセルに格納し、セルのアドレス順に配置されているデータ構造,2,2
96dpiのディスプレイに12ポイントの文字をビットマップで表示したい。正方形フォントの縦は何ドットになるか。ここで、1ポイントは1/72インチとする。,8,9,12,16,3,2
3Dプリントの機能の説明として、適切なものはどれか。,高温の印字ヘッドのピンを感熱紙に押し付けることによって印刷を行う,コンピュータグラフィックスを建物、家具など凹凸のある立体物に投影する。,熱溶解積層方式などによって、立体物を造形する,立体物の形状を感知して、3Dデータとして出力する,2,2
几長構成におけるデュアルシステムの説明として、適切なものはどれか,２系統のシステムで並列処理をすることによって性能を上げる方式である。,２系統のシステムの負荷が均等になるように、処理を分散する方式である。,現用系と待機系の２系統のシステムで構成され、現用系に障害が生じたときに待機系が処理を受け継ぐ方式である。,１つの処理を２系統のシステムで独立に行い、結果を照合する方式である。,3,2
タスクのディスパッチ実行順序を決定すること,各タスクの実行順序を決定すること,実行可能なタスクに対してプロセッサの使用権を割り当てること,タスクの実行に必要な情報であるコンテキストのこと,１つのプロセッサで複数のタスクを同時に実行しているかのように見せかける機能のこと,1,2
デバイスドライバの説明として、適切なものはどれか,PCに接続された周辺機器を制御するソフトウェア,アプリケーションプログラムをPCに導入するソフトウェア,キーボードなどの操作手順を登録して、その操作を自動化するソフトウェア,他のPCに入り込んで不利益をもたらすソフトウェア,0,2
データ検索時に使用される、理想的なハッシュ法の説明として、適切なものはどれか,キーワード検索のヒット率を高めることを目的に作成した、一種の同義語・類義語リストを用いることによって、検索漏れを防ぐ技術である,蓄積されている膨大なデータをを検索し、経営やマーケティングにとって必要な傾向、相対関係、パターンなどを導き出すための技術や手法である,データとそれに対する処理は組み合わせたオブジェクトに、認識や判断の機能を加え、利用者の検索要求に対して、その意図を判断する高度な検索技術である,データを特定のアルゴリズムによって変換した値を格納アドレスとして用いる、高速でスケーラビリティの高いデータ検索技術である,3,2
インタプリタの説明として、適切なものはどれか,原始プログラムを解釈しながら実行するプログラムである,原始プログラムを推論しながら翻訳するプログラムである,原始プログラムを目的プログラムに翻訳プログラムである,実行可能なプログラムを、主記憶装置にロードするプログラムである。,0,2
OSIによるオープンソースソフトウェアの定義に従うときのオープンソースソフトウェアに対する取扱いとして、適切なものはどれか。,ある特定の業界向けに作成されたオープンソースソフトウェアは、ソースコードを公開する範囲をその業界に限定することができる,オープンソースソフトウェアを改変して再配布する場合、元のソフトウェアと同じ配布条件となるように、同じライセンスを適応して配布する必要がある,オープンソースソフトウェアを第三者が製品として再配布する場合、オープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合、改変部分のソースコードを公開しなくてもよい,3,2
メモリセルにフリップフロップ回路を利用したものはどれか,DRAM,EEPROM,SDRAM,ARAM,3,2
WBS(Work Brekdown Structure)を利用する効果として、適切なものはどれか,作業の内容や範囲が体系的に整理でき、作業の全体が把握しやすくなる,ソフトウェア、ハードウェアなど、システムの構成要素を効率よく管理できる。,プロジェクト体制を階層的に表すことで、指揮命令系統が明確になる。,要員ごとに作業が適正に配分されているかどうかが把握できる。,0,3
電子自治体において、G to Bに該当するものはどれか,自治体内で電子決裁や電子公文書管理を行う。,自治体の利用する物品や資材の電子調達、電子入札を行う。,住民基本台帳ネットワークによって、自治体間で住民票データを送受信する。,住民票、戸籍謄本、婚姻届、パスポートなどを電子申請する。,1,2
手続型言語のコンパイラが行う処理のうち、最初に行う処理はどれか。,意味解析,構文解析,最適化,字句解析,3,2
リンカの機能として、適切なものはどれか。,作成したプログラムをライブラリに登録する。,実行に先立ってロードモジュールを主記憶にロードする。,相互参照の解決などを行い、複数の目的モジュールなどから一つのロードモジュールを生成する。,プログラムの実行を監視し、ステップごとに実行結果を記録する。,2,2
DRAMの説明として、適切なものはどれか。,1バイト単位でデータの消去及び書込みが可能な不揮発性のメモリであり、電源遮断時もデータ保持が必要な用途に用いられる。,不揮発性のメモリでNAND型又はNOR型があり、SSDに用いられる。,メモリセルはフリップフロップで構成され、キャッシュメモリに用いられる。,リフレッシュ動作が必要なメモリであり、PCの主記憶として用いられる。,3,2
2入力NAND素子を用いて4入力NAND回路を構成したものはどれか。,,,,,1,2
二次電池(充電式電池)はどれか。,アルカリマンガン乾電池,酸化銀電池,燃料電池,リチウムイオン電池,3,2
キャッシュフローを改善する行為はどれか。,感性インタフェース,自然言語インタフェース,ノンバーバルインタフェース,マルチモーダルインタフェース,1,2
液晶ディスプレイなどの表示装置において、傾いた直線を滑らかに表示する手法はどれか。,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,0,2
IoT(Internet of Things)の実用例として、適切でないものはどれか。,インターネットにおけるセキュリティの問題を回避する目的で、サーバに接続せず、単独でファイルの管理、演算処理、印刷処理などの作業を行うコンピュータ,大型の機械などにセンサと通信機能を内蔵して、稼働状況、故障箇所、交換が必要な部品などを、製造元がインターネットを介してリアルタイムに把握できるシステム,検針員に代わって、電力会社と通信して電力使用量を送信する電力メータ,自動車同士及び自動車と路側機が通信することによって、自動車の位置情報をリアルタイムに収集して、渋滞情報を配信するシステム,0,2
